,name,developer,platform,genre,total_sales,na_sales,eu_sales,japan_sales,other_sales,release_year
0, Just Dance 4     ,Ubisoft  ,Wii,Music,6.89,4.05,2.21,0.01,0.62,2012
1, Just Dance 2014     ,Ubisoft Paris  ,Wii,Music,3.89,1.91,1.66,0.01,0.33,2013
2, Just Dance 2015     ,Ubisoft Paris  ,Wii,Music,2.09,1.00,0.91,0.01,0.18,2014
3, Dance Central 2     ,Harmonix Music Systems  ,X360,Music,2.04,1.45,0.41,0.01,0.16,2011
4, Guitar Hero Live     ,FreeStyleGames  ,PS4,Music,1.21,0.52,0.49,0.01,0.20,2015
5, Just Dance 4     ,Ubisoft  ,X360,Music,1.21,0.90,0.19,0.01,0.12,2012
6, Just Dance 2016     ,Ubisoft Paris  ,Wii,Music,1.11,0.43,0.58,0.01,0.09,2015
7, Rocksmith 2014     ,Ubisoft San Francisco  ,PS3,Music,1.05,0.56,0.26,0.05,0.17,2013
8, Just Dance 2014     ,Ubisoft Paris  ,X360,Music,1.03,0.75,0.18,0.01,0.10,2013
9, Just Dance 2017     ,Ubisoft Paris  ,Wii,Music,1.00,0.40,0.51,0.01,0.08,2016
10, Rocksmith 2014     ,Ubisoft San Francisco  ,X360,Music,0.99,0.73,0.16,0.00,0.10,2013
11, Rhythm Heaven Fever     ,Nintendo / TNX  ,Wii,Music,0.89,0.11,0.01,0.77,0.01,2012
12, Dance Central 3     ,Harmonix Music Systems  ,X360,Music,0.83,0.57,0.19,0.01,0.07,2012
13, Guitar Hero Live     ,FreeStyleGames  ,XOne,Music,0.83,0.52,0.23,0.01,0.08,2015
14, Just Dance 2019     ,Ubisoft Paris  ,NS,Music,0.76,0.43,0.26,0.01,0.07,2018
15, Just Dance 2018     ,Ubisoft Paris  ,NS,Music,0.76,0.30,0.40,0.01,0.06,2017
16, Rock Band 4     ,Harmonix Music Systems  ,XOne,Music,0.75,0.62,0.05,0.01,0.08,2015
17, Just Dance 2015     ,Ubisoft Paris  ,WiiU,Music,0.75,0.40,0.29,0.01,0.07,2014
18, Rocksmith 2014     ,Ubisoft San Francisco  ,PC,Music,0.70,0.39,0.24,0.01,0.06,2016
19, Rocksmith 2014     ,Ubisoft San Francisco  ,PS4,Music,0.67,0.38,0.17,0.01,0.12,2016
20, Taiko no Tatsujin Wii: Super Deluxe Edition     ,Bandai Namco Games  ,Wii,Music,0.66,0.01,0.01,0.66,0.01,2012
